"taxon_name","n","native_to_europe","wcvp_accepted_id.x","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","tiles","area_km2","wcvp_status","wcvp_accepted_id.y","taxon_name.y","min_fr","rel_status"
"Astragalus caraganae",1,FALSE,2658243,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus caucasicus",1,FALSE,2658282,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus dactylocarpus subsp. acinacifer",1,FALSE,2658752,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus densiflorus",1,FALSE,2658856,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus densifolius",1,FALSE,2658859,"Fabaceae","Astragalus",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus echinus",2,FALSE,2659082,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus eriocarpus",1,FALSE,2659188,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus galegiformis",1,FALSE,2659465,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",2,6006.2725419173,"Accepted",2659465,"Astragalus galegiformis",NA,"Genus in Europe"
"Astragalus gombo",2,FALSE,2659613,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus gummifer",6,FALSE,2659706,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus heterophyllus",1,FALSE,2659836,"Fabaceae","Astragalus",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus lagopoides",3,FALSE,2660429,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus mongholicus",2,FALSE,2661222,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus oleifolius",2,FALSE,2661571,"Fabaceae","Astragalus",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus ovatus",1,FALSE,2661675,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus pinetorum",2,FALSE,2661941,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus psoraloides",2,FALSE,2662220,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus puberulus",1,FALSE,2662234,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Astragalus stevenianus",1,FALSE,2663006,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Asyneuma amplexicaule",1,FALSE,360673,"Campanulaceae","Asyneuma","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Asyneuma argutum",1,FALSE,360681,"Campanulaceae","Asyneuma","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Asyneuma ekimianum",1,FALSE,360713,"Campanulaceae","Asyneuma","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Asyneuma rigidum",1,FALSE,360778,"Campanulaceae","Asyneuma","Perennial","Non-Woody","Non-Woody","Perennial",1,1734.68803583886,"Accepted",360778,"Asyneuma rigidum",NA,"Genus in Europe"
"Athamanta montana",1,FALSE,2664717,"Apiaceae","Athamanta","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Atractylis carduus",1,FALSE,3040194,"Asteraceae","Atractylis","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Atriplex dimorphostegia",1,FALSE,2665227,"Amaranthaceae","Atriplex","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,1962,"Genus in Europe"
"Atriplex nummularia",1,FALSE,2665554,"Amaranthaceae","Atriplex","Perennial","Woody","Woody","Perennial",4,11441.0462935131,"Accepted",2665554,"Atriplex nummularia",NA,"Genus in Europe"
"Atriplex semibaccata",2,FALSE,2665777,"Amaranthaceae","Atriplex","Perennial","Woody","Woody","Perennial",18,36779.3031801373,"Accepted",2665777,"Atriplex semibaccata",1947,"Genus in Europe"
"Atriplex semilunaris",3,FALSE,2665787,"Amaranthaceae","Atriplex","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,1963,"Genus in Europe"
"Atriplex sibirica",1,FALSE,2665798,"Amaranthaceae","Atriplex","Annual","Non-Woody","Non-Woody","Annual",5,9983.47866037355,"Accepted",2665798,"Atriplex sibirica",1777,"Genus in Europe"
"Atriplex turcomanica",4,FALSE,2665887,"Amaranthaceae","Atriplex","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aubrieta libanotica",1,FALSE,2666169,"Brassicaceae","Aubrieta","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aubrieta olympica",1,FALSE,2666170,"Brassicaceae","Aubrieta","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Aubrieta pinardi",1,FALSE,2666173,"Brassicaceae","Aubrieta",NA,NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Avena sativa",96,FALSE,397860,"Poaceae","Avena","Annual","Non-Woody","Non-Woody","Annual",2128,3635086.49793829,"Accepted",397860,"Avena sativa",1791,"Genus in Europe"
"Avenella foliosa",1,FALSE,398175,"Poaceae","Avenella","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Ballota saxatilis",4,FALSE,19668,"Lamiaceae","Ballota","Perennial",NA,"Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Barbarea plantaginea",1,FALSE,2669685,"Brassicaceae","Barbarea",NA,"Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bassia muricata",2,FALSE,2670831,"Amaranthaceae","Bassia",NA,NA,"Non-Woody","Annual",1,3186.8968903514,"Accepted",2670831,"Bassia muricata",NA,"Genus in Europe"
"Bassia pilosa",2,FALSE,2903240,"Amaranthaceae","Bassia","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bassia stellaris",1,FALSE,2670869,"Amaranthaceae","Bassia","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellardiochloa polychroa",1,FALSE,399211,"Poaceae","Bellardiochloa","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia desertorum",1,FALSE,300420,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia flexuosa",1,FALSE,300437,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia glauca",1,FALSE,300445,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia longistyla",1,FALSE,300467,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia mauritanica",1,FALSE,300476,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia montana",1,FALSE,300481,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bellevalia saviczii",1,FALSE,300509,"Asparagaceae","Bellevalia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis aggregata",1,FALSE,2673383,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",35,53168.9313741533,"Accepted",2673383,"Berberis aggregata",1961,"Genus in Europe"
"Berberis ahrendtii",1,FALSE,2673388,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis amurensis",1,FALSE,2673404,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",2,3193.76009613211,"Accepted",2673404,"Berberis amurensis",NA,"Genus in Europe"
"Berberis aquifolium",21,FALSE,2673426,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",1161,2283831.34891898,"Accepted",2673426,"Berberis aquifolium",1733,"Genus in Europe"
"Berberis bealei",2,FALSE,2673471,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",35,68121.3748506537,"Accepted",2673471,"Berberis bealei",2009,"Genus in Europe"
"Berberis canadensis",1,FALSE,2673552,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis caroli",2,FALSE,2673560,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis chinensis",2,FALSE,2673588,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis circumserrata",1,FALSE,2673606,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis crataegina",12,FALSE,2673657,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis dasystachya",1,FALSE,2673676,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis diaphana",1,FALSE,2673702,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis dictyophylla",1,FALSE,2673709,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis empetrifolia",1,FALSE,2673747,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis eutriphylla",1,FALSE,2673755,"Berberidaceae","Berberis",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis gagnepainii",1,FALSE,2673804,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",44,82403.9272283406,"Accepted",2673804,"Berberis gagnepainii",1984,"Genus in Europe"
"Berberis heteropoda",2,FALSE,2673890,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis holstii",2,FALSE,2673907,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis humidoumbrosa",1,FALSE,2673922,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis ilicifolia",1,FALSE,2673936,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis integerrima",1,FALSE,2673955,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis jaeschkeana",1,FALSE,2673971,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis jamesiana",1,FALSE,2673975,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis japonica",2,FALSE,2673980,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",2333,4230555.69705469,"Accepted",2673980,"Berberis japonica",NA,"Genus in Europe"
"Berberis julianae",1,FALSE,2673994,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",378,641744.407394291,"Accepted",2673994,"Berberis julianae",1889,"Genus in Europe"
"Berberis koreana",2,FALSE,2674019,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",4,7251.58555474454,"Accepted",2674019,"Berberis koreana",NA,"Genus in Europe"
"Berberis kunawurensis var. kunawurensis",1,FALSE,3262261,"Berberidaceae","Berberis",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis lepidifolia",1,FALSE,2674050,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis ludlowii",1,FALSE,2674084,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis lycium",1,FALSE,2674093,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis morrisonensis",1,FALSE,2674167,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis oblonga",2,FALSE,2674217,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis parviflora",1,FALSE,2674258,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis polyantha",2,FALSE,2674307,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis pruinosa",1,FALSE,2674323,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis repens",2,FALSE,2674362,"Berberidaceae","Berberis",NA,NA,"Woody","Perennial",17,35024.3192052826,"Accepted",2674362,"Berberis repens",NA,"Genus in Europe"
"Berberis sargentiana",2,FALSE,2674406,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis sibirica",1,FALSE,2674429,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis sieboldii",2,FALSE,2674435,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis silva-taroucana",1,FALSE,2674441,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis thunbergii",27,FALSE,2674513,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",1064,1727736.24942949,"Accepted",2674513,"Berberis thunbergii",1864,"Genus in Europe"
"Berberis tsarongensis",1,FALSE,2674557,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis umbellata",1,FALSE,2674567,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis veitchii",1,FALSE,2674587,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",1,2527.50519892794,"Accepted",2674587,"Berberis veitchii",NA,"Genus in Europe"
"Berberis wallichiana",1,FALSE,2674640,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis wilsoniae",3,FALSE,2674666,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",34,64761.6043906893,"Accepted",2674666,"Berberis wilsoniae",1941,"Genus in Europe"
"Berberis yunnanensis",1,FALSE,2674686,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Berberis × bidentata",1,FALSE,2673488,"Berberidaceae","Berberis","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Beta corolliflora",1,FALSE,3302323,"Amaranthaceae","Beta","Perennial","Non-Woody","Non-Woody","Perennial",1,2480.48913508641,"Accepted",3302323,"Beta corolliflora",NA,"Genus in Europe"
"Betonica macrantha",3,FALSE,21015,"Lamiaceae","Betonica","Perennial","Non-Woody","Non-Woody","Perennial",245,314788.515104319,"Accepted",21015,"Betonica macrantha",1912,"Genus in Europe"
"Betula alleghaniensis",6,FALSE,21135,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",7,15885.8820857131,"Accepted",21135,"Betula alleghaniensis",1990,"Genus in Europe"
"Betula costata",1,FALSE,21236,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula davurica",2,FALSE,21251,"Betulaceae","Betula",NA,NA,"Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula ermanii",4,FALSE,21280,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",12,20569.1279339946,"Accepted",21280,"Betula ermanii",NA,"Genus in Europe"
"Betula fruticosa",1,FALSE,343069,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,2001,"Genus in Europe"
"Betula grossa",3,FALSE,21355,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",1,138.373324747892,"Accepted",21355,"Betula grossa",NA,"Genus in Europe"
"Betula maximowicziana",2,FALSE,21479,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",14,26703.1573005415,"Accepted",21479,"Betula maximowicziana",NA,"Genus in Europe"
"Betula medwediewii",1,FALSE,21484,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula nigra",3,FALSE,21527,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",32,55812.6620156958,"Accepted",21527,"Betula nigra",NA,"Genus in Europe"
"Betula occidentalis",1,FALSE,21535,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula papyrifera",8,FALSE,21557,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",92,155971.584314445,"Accepted",21557,"Betula papyrifera",1968,"Genus in Europe"
"Betula pendula subsp. mandshurica",7,FALSE,488094,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula pubescens var. litwinowii",2,FALSE,488135,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula pumila",2,FALSE,21671,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Betula tianschanica",1,FALSE,21758,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",1,2623.23461310997,"Accepted",21758,"Betula tianschanica",NA,"Genus in Europe"
"Betula utilis",4,FALSE,21791,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",69,131503.429146701,"Accepted",21791,"Betula utilis",1998,"Genus in Europe"
"Betula × caerulea",1,FALSE,21194,"Betulaceae","Betula","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bidens aurea",1,FALSE,3115851,"Asteraceae","Bidens","Perennial","Non-Woody","Non-Woody","Perennial",403,933061.170859591,"Accepted",3115851,"Bidens aurea",1915,"Genus in Europe"
"Bidens bipinnata",2,FALSE,2922697,"Asteraceae","Bidens","Annual","Non-Woody","Non-Woody","Annual",154,345159.684142432,"Accepted",2922697,"Bidens bipinnata",1805,"Genus in Europe"
"Bidens connata",2,FALSE,3116585,"Asteraceae","Bidens","Annual","Non-Woody","Non-Woody","Annual",379,715509.337823411,"Accepted",3116585,"Bidens connata",1865,"Genus in Europe"
"Bidens frondosa",7,FALSE,2925678,"Asteraceae","Bidens","Annual","Non-Woody","Non-Woody","Annual",1786,3506998.46810721,"Accepted",2925678,"Bidens frondosa",1814,"Genus in Europe"
"Bidens laevis",1,FALSE,3116782,"Asteraceae","Bidens","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bidens pilosa",1,FALSE,2925686,"Asteraceae","Bidens","Annual","Non-Woody","Non-Woody","Annual",197,378528.89907206,"Accepted",2925686,"Bidens pilosa",1805,"Genus in Europe"
"Blitum nuttallianum",2,FALSE,2677615,"Amaranthaceae","Blitum","Annual","Non-Woody","Non-Woody","Annual",5,9711.13098037955,"Accepted",2677615,"Blitum nuttallianum",1858,"Genus in Europe"
"Borago trabutii",1,FALSE,2679699,"Boraginaceae","Borago","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bothriochloa pertusa",1,FALSE,399362,"Poaceae","Bothriochloa","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Brachypodium arbuscula",2,FALSE,399841,"Poaceae","Brachypodium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Brassica juncea",7,FALSE,2682298,"Brassicaceae","Brassica","Annual","Non-Woody","Non-Woody","Annual",494,899681.322509756,"Accepted",2682298,"Brassica juncea",1777,"Genus in Europe"
"Bromus armenus",1,FALSE,400656,"Poaceae","Bromus","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bromus brachystachys",3,FALSE,400748,"Poaceae","Bromus","Annual","Non-Woody","Non-Woody","Annual",4,9284.66963265488,"Accepted",400748,"Bromus brachystachys",1928,"Genus in Europe"
"Bromus briziformis",2,FALSE,400758,"Poaceae","Bromus","Annual","Non-Woody","Non-Woody","Annual",10,23673.5195951013,"Accepted",400758,"Bromus briziformis",1881,"Genus in Europe"
"Bromus carinatus",7,FALSE,400793,"Poaceae","Bromus","Perennial","Non-Woody","Non-Woody","Perennial",371,710563.494583163,"Accepted",400793,"Bromus carinatus",1823,"Genus in Europe"
"Bromus catharticus",12,FALSE,400803,"Poaceae","Bromus",NA,"Non-Woody","Non-Woody","Annual",551,1157261.75421181,"Accepted",400803,"Bromus catharticus",1777,"Genus in Europe"
"Bromus ciliatus",1,FALSE,400822,"Poaceae","Bromus","Perennial","Non-Woody","Non-Woody","Perennial",2,3571.46980578638,"Accepted",400822,"Bromus ciliatus",NA,"Genus in Europe"
"Bromus marginatus",1,FALSE,401417,"Poaceae","Bromus","Perennial","Non-Woody","Non-Woody","Perennial",1,2150.0690725774,"Accepted",401417,"Bromus marginatus",1907,"Genus in Europe"
"Bromus pectinatus",1,FALSE,401615,"Poaceae","Bromus","Annual","Non-Woody","Non-Woody","Annual",6,13282.5649450648,"Accepted",401615,"Bromus pectinatus",1881,"Genus in Europe"
"Bromus sitchensis",1,FALSE,401951,"Poaceae","Bromus","Perennial","Non-Woody","Non-Woody","Perennial",196,367175.57613917,"Accepted",401951,"Bromus sitchensis",1850,"Genus in Europe"
"Bryonia syriaca",1,FALSE,2684506,"Cucurbitaceae","Bryonia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bufonia virgata",1,FALSE,2685771,"Caryophyllaceae","Bufonia","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bunium atlanticum",1,FALSE,2895663,"Apiaceae","Bunium","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bupleurum brevicaule",1,FALSE,2686459,"Apiaceae","Bupleurum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bupleurum heldreichii",1,FALSE,2686755,"Apiaceae","Bupleurum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bupleurum nodiflorum",1,FALSE,2686929,"Apiaceae","Bupleurum","Annual","Non-Woody","Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Bupleurum salicifolium subsp. aciphyllum",2,FALSE,2687125,"Apiaceae","Bupleurum",NA,NA,"Non-Woody","Annual",2,6293.39792342225,"Accepted",2687125,"Bupleurum salicifolium subsp. aciphyllum",NA,"Genus in Europe"
"Buxus microphylla",4,FALSE,2687938,"Buxaceae","Buxus","Perennial","Woody","Woody","Perennial",7,12142.3145877749,"Accepted",2687938,"Buxus microphylla",NA,"Genus in Europe"
"Buxus wallichiana",1,FALSE,2688038,"Buxaceae","Buxus","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Calamagrostis canadensis",3,FALSE,402503,"Poaceae","Calamagrostis","Perennial","Non-Woody","Non-Woody","Perennial",7,14596.1730834769,"Accepted",402503,"Calamagrostis canadensis",NA,"Genus in Europe"
"Calendula maroccana",1,FALSE,3198756,"Asteraceae","Calendula","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Calendula suffruticosa subsp. maderensis",1,FALSE,3086982,"Asteraceae","Calendula",NA,NA,"Non-Woody","Annual",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Callianthemum angustifolium",1,FALSE,2692410,"Ranunculaceae","Callianthemum","Perennial","Non-Woody","Non-Woody","Perennial",1,1700.24108413089,"Accepted",2692410,"Callianthemum angustifolium",NA,"Genus in Europe"
"Calligonum comosum",4,FALSE,2692499,"Polygonaceae","Calligonum","Perennial","Woody","Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Calystegia hederacea",1,FALSE,483508,"Convolvulaceae","Calystegia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,1986,"Genus in Europe"
"Calystegia macounii",1,FALSE,483519,"Convolvulaceae","Calystegia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Calystegia malacophylla",1,FALSE,483527,"Convolvulaceae","Calystegia","Perennial","Non-Woody","Non-Woody","Perennial",NA,NA,NA,NA,NA,NA,"Genus in Europe"
"Calystegia occidentalis",1,FALSE,483535,"Convolvulaceae","Calystegia","Perennial","Woody","Woody","Perennial",1,3572.22449349669,"Accepted",483535,"Calystegia occidentalis",NA,"Genus in Europe"
"Calystegia occidentalis subsp. occidentalis",1,FALSE,486991,"Convolvulaceae","Calystegia",NA,NA,"Non-Woody","Perennial",1,3572.22449349669,"Accepted",486991,"Calystegia occidentalis subsp. occidentalis",NA,"Genus in Europe"
