microherbivore_species;n;organ;role;phase
Brachycoleus decolor;24;L;V;NA
Brachycoleus lineellus;15;L;V;NA
Brachycoleus pilicornis;5;L;V;NA
Brachycoleus sexvittatus;2;L;V;NA
Brachycoleus steini;8;L;V;NA
Brachycoleus triangularis;4;L;V;NA
Brachycolus cerastii;8;X;G;NA
Brachycolus cucubali;3;L;G;NA
Brachycolus stellariae;5;L;G;NA
Brachycorynella asparagi;3;S;W;NA
Brachycorynella lonicerina;1;L;G;NA
Brachyderes grisescens;1;L;V;imago
Brachyderes incanus;8;L;V;imago
Brachyderes lusitanicus;9;L;V;imago
Brachyderes marginellus;3;L;V;imago
Brachyderes pubescens;7;L;V;imago
Brachyderes rugatus;1;L;V;imago
Brachyderes suturalis;3;L;V;imago
Brachydiplosis caricum;1;L;B;NA
Brachyleptus auripubens;2;F;B;NA
Brachyleptus aurosus;2;F;B;NA
Brachyleptus discolor;2;F;B;NA
Brachyleptus quadratus;1;F;B;NA
Brachylomia viminalis;2;L;H;NA
Brachynema cinctum;6;L;V;NA
Brachynema germarii;6;L;V;NA
Brachynema purpureomarginatum;2;L;V;NA
Brachyneurina peniophorae;1;NA;G;NA
Brachynotocoris cyprius;3;L;V;NA
Brachynotocoris puncticornis;3;L;V;NA
Brachynotocoris viticinus;1;L;V;NA
Brachyplax tenuis;6;L;V;NA
Brachypterolus antirrhini;3;X;B;NA
Brachypterolus linariae;2;X;B;NA
Brachypterolus pulicarius;2;X;B;NA
Brachypterolus vestitus;1;X;B;NA
Brachypteroma ottomanum;10;DW;B;NA
Brachypterona vieirai;2;L;V;NA
Brachypterus curtulus;2;X;B;NA
Brachypterus glaber;2;X;B;NA
Brachypterus rotundicollis;1;X;B;NA
Brachypterus urticae;1;X;B;NA
Brachypterus velatus;1;X;B;NA
Brachysomus echinatus;7;L;V;imago
Brachysomus rokosensis;2;L;V;imago
Brachysomus setiger;6;L;V;imago
Brachysteles parvicornis;8;NA;Pre;NA
Brachyta bureschi;1;U;B;NA
Brachyta interrogationis;1;R;B;NA
Brachyta petriccionei;1;U;B;NA
Brachythops flavens;2;L;V;NA
Brachythops wuestneii;1;L;V;NA
Brachyunguis harmalae;8;L;V;NA
Brachyunguis tamaricis;4;S;V;NA
Bradybatus creutzeri;2;F;B;larva
Bradybatus elongatulus;3;F;B;larva
Bradybatus fallax;4;F;B;larva
Bradybatus kellneri;7;F;B;larva
Bradybatus seriesetosus;3;F;B;larva
Bradybatus tomentosus;1;U;U;NA
Bradycellus ganglbaueri;5;seeds;V;NA
Bradycellus ruficollis;1;seeds;V;NA
Bradyrrhoa gilveolella;1;R;V;NA
Bradyrrhoa marianella;1;U;U;NA
Brassicogethes aeneus;2;X;B;NA
Brassicogethes anthracinus;1;X;B;NA
Brassicogethes arankae;4;X;B;NA
Brassicogethes armeniacus;1;X;B;NA
Brassicogethes bithynicus;1;X;B;NA
Brassicogethes cantabricus;1;X;B;NA
Brassicogethes coeruleovirens;9;X;V;imago
Brassicogethes coracinus;4;X;B;NA
Brassicogethes cristofaroi;1;X;B;NA
Brassicogethes czwalinai;1;X;B;NA
Brassicogethes epeirosi;1;X;B;NA
Brassicogethes erysimicola;1;X;B;NA
Brassicogethes fulvipes;3;X;B;NA
Brassicogethes gloriae;1;X;B;NA
Brassicogethes gracilis;1;X;B;NA
Brassicogethes humerosus;2;X;B;NA
Brassicogethes longulus;1;X;B;NA
Brassicogethes matronalis;2;X;B;NA
Brassicogethes prometheus;2;X;B;NA
Brassicogethes reitteri;2;X;B;NA
Brassicogethes salvan;1;X;B;larva
Brassicogethes spornrafti;6;X;B;NA
Brassicogethes subaeneus;5;X;B;NA
Brassicogethes thalassophilus;4;X;B;NA
Brassicogethes viridescens;3;X;B;NA
Braueriella phillyreae;2;L;G;NA
Bregmatothrips bournieri;4;L;V;NA
Bregmatothrips dimorphus;3;L;V;NA
Bregmatothrips willcocksi;1;U;U;NA
Bremia centaureae;14;L;D;NA
Bremia cirsii;7;L;D;NA
Bremia lactucae;103;L;D;NA
Bremia lapsanae;1;L;D;NA
Bremia stellata;8;L;D;NA
Bremia taraxaci;1;L;D;NA
Bremia tulasnei;16;L;D;NA
Bremiola onobrychidis;11;L;G;NA
Brenthis daphne;3;L;V;NA
Brenthis hecate;1;L;V;NA
Brenthis ino;8;L;V;NA
Brevennia asphodeli;1;U;SC;NA
Brevennia ferenci;1;NA;SC;NA
Brevennia operta;4;S;SC;NA
Brevennia pulveraria;1;U;SC;NA
Brevennia tetrapora;1;S;SC;NA
Breviappendix rubi;2;S;CA;NA
Brevicoryne brassicae;54;L;G;NA
Brevilegnia gracilis;1;R;film;NA
Brevipalpus atalantae;1;B;V;NA
Brevipalpus azores;4;NA;V;NA
Brevipalpus californicus;20;L;V;NA
Brevipalpus chalkidicus;1;S;V;NA
Brevipalpus cuneatus;4;L;V;NA
Brevipalpus ferraguti;1;NA;V;NA
Brevipalpus hellenicus;1;S;V;NA
Brevipalpus lewisi;36;L;V;NA
Brevipalpus lilium;15;L;V;NA
Brevipalpus macedonicus;1;S;V;NA
Brevipalpus mallorquensis;2;L;V;NA
Brevipalpus obovatus;29;L;V;NA
Brevipalpus oleae;1;L;V;NA
Brevipalpus olearius;1;L;V;NA
Brevipalpus olivicola;1;NA;V;NA
Brevipalpus phoenicis;24;Sys;V;NA
Brevipalpus pini;1;NA;V;NA
Brevipalpus recki;6;L;V;NA
Brevipalpus russulatus;7;NA;V;NA
Brevipalpus sayedi;6;L;V;NA
Brevipalpus spaticus;1;NA;V;NA
Brevipalpus sulcatus;1;L;V;NA
Brevipalpus thelicraniae;2;L;V;NA
Brevipalpus tiliae;2;L;V;NA
Brevipalpus yothersi;3;NA;V;NA
Brevulacus carpathicus;1;L;V;NA
Brevulacus extensus;1;L;V;NA
Brevulacus reticulatus;2;L;G;NA
Brintesia circe;4;L;V;NA
Briosia ampelophaga;1;L;F;NA
Brithys crini;2;L;M;NA
Bromius obscurus;4;R;V;NA
Bromusicoccus gulsunae;1;NA;SC;NA
Bruchela anatolica;1;U;U;NA
Bruchela conformis;1;F;B;NA
Bruchela kaszabi;3;F;B;NA
Bruchela muscula;1;U;U;NA
Bruchela orientalis;4;F;B;NA
Bruchela parvula;1;U;U;NA
Bruchela rufipes;3;X;V;Imago
Bruchela schusteri;2;U;U;NA
Bruchela suturalis;2;F;B;NA
Bruchela uralensis;1;U;U;NA
Bruchidius albolineatus;2;Seeds;B;larva
Bruchidius albopictus;3;seeds;B;larva
Bruchidius annulicornis;1;seeds;B;larva
Bruchidius anobioides;2;seeds;B;larva
Bruchidius astragali;5;seeds;B;larva
Bruchidius bernardi;1;seeds;B;larva
Bruchidius biguttatus;7;seeds;B;larva
Bruchidius bimaculatus;20;seeds;B;larva
Bruchidius bituberculatus;1;seeds;B;larva
Bruchidius borowieci;4;seeds;B;larva
Bruchidius calabrensis;5;seeds;B;larva
Bruchidius caninus;7;seeds;B;larva
Bruchidius cinerascens;3;seeds;B;larva
Bruchidius cisti;11;seeds;B;larva
Bruchidius corsicus;1;seeds;B;larva
Bruchidius dispar;8;seeds;B;larva
Bruchidius foveolatus;4;seeds;B;larva
Bruchidius fulvescens;1;seeds;V;larva
Bruchidius fulvicornis;1;seeds;B;larva
Bruchidius fulvus;3;seeds;B;larva
Bruchidius gavirai;1;seeds;B;larva
Bruchidius glycyrrhizae;3;seeds;B;larva
Bruchidius guanchorum;2;seeds;B;larva
Bruchidius holosericeus;1;seeds;B;larva
Bruchidius imbricornis;2;seeds;B;larva
Bruchidius incarnatus;1;seeds;B;larva
Bruchidius koenigi;2;seeds;B;larva
Bruchidius lichenicola;2;seeds;B;larva
Bruchidius lineatus;1;seeds;B;larva
Bruchidius lividimanus;30;seeds;B;larva
Bruchidius longulus;2;seeds;B;larva
Bruchidius lutescens;3;seeds;B;larva
Bruchidius marginalis;8;seeds;B;larva
Bruchidius martinezi;4;seeds;B;larva
Bruchidius mulsanti;1;seeds;B;larva
Bruchidius murinus;1;seeds;B;larva
Bruchidius myobrome;1;seeds;B;larva
Bruchidius nanus;3;seeds;B;larva
Bruchidius nudus;4;seeds;B;larva
Bruchidius obscuripes;1;seeds;B;larva
Bruchidius olivaceus;7;X;V;imago
Bruchidius orchesioides;1;seeds;B;larva
Bruchidius parumpunctatus;1;seeds;B;larva
Bruchidius pauper;6;seeds;B;larva
Bruchidius picipes;5;seeds;B;larva
Bruchidius poecilus;4;seeds;B;larva
Bruchidius poupillieri;8;seeds;B;larva
Bruchidius pusillus;8;seeds;B;larva
Bruchidius pygmaeus;16;seeds;B;larva
Bruchidius quinqueguttatus;3;seeds;B;larva
Bruchidius raddianae;1;seeds;B;larva
Bruchidius seminarius;20;seeds;B;larva
Bruchidius sericatus;9;seeds;B;larva
Bruchidius siliquastri;5;seeds;B;larva
Bruchidius talyshensis;1;seeds;B;larva
Bruchidius taorminensis;3;X;V;imago
Bruchidius tenerifensis;1;seeds;B;larva
Bruchidius terrenus;1;seeds;F;larva
Bruchidius tibialis;5;seeds;B;larva
Bruchidius trifolii;1;seeds;B;larva
Bruchidius tuberculatus;2;seeds;B;larva
Bruchidius unicolor;2;seeds;B;larva
Bruchidius varipes;1;seeds;B;larva
Bruchidius varipictus;2;seeds;B;larva
Bruchidius varius;19;X;V;imago
Bruchidius villosus;25;seeds;B;larva
Bruchidius virgatus;1;seeds;B;larva
Bruchidius wollastoni;3;seeds;B;larva
Bruchophagus abscedus;3;F;B;NA
Bruchophagus asphodelinae;1;F;B;NA
Bruchophagus astragali;14;F;B;NA
Bruchophagus bajariae;2;F;B;NA
Bruchophagus caucasicus;1;F;B;NA
Bruchophagus coluteae;3;F;B;NA
Bruchophagus coronillae;2;F;B;NA
Bruchophagus dorycnii;1;F;B;NA
Bruchophagus evolans;2;F;B;NA
Bruchophagus gibbus;8;F;B;NA
Bruchophagus gijswijti;1;F;B;NA
Bruchophagus glycyrrhizae;3;F;B;NA
Bruchophagus hippocrepidis;2;F;B;NA
Bruchophagus insulare;2;F;B;NA
Bruchophagus kolobovae;1;F;B;NA
Bruchophagus lecomtei;1;F;B;NA
Bruchophagus medicaginis;3;F;B;NA
Bruchophagus mutabilis;4;F;B;NA
Bruchophagus ononis;2;F;B;NA
Bruchophagus oxytropidis;1;F;B;NA
Bruchophagus parvulus;1;F;B;NA
Bruchophagus platypterus;2;F;B;NA
Bruchophagus ponticus;1;F;B;NA
Bruchophagus ribesi;4;F;B;NA
Bruchophagus robiniae;2;F;B;NA
Bruchophagus roddi;7;F;B;NA
Bruchophagus seravschanicus;1;F;B;NA
Bruchophagus sophorae;1;F;B;NA
Bruchophagus tauricus;1;F;B;NA
Bruchophagus trigonellae;1;F;B;NA
Bruchus affinis;11;F;B;larva
Bruchus atomarius;17;F;B;larva
Bruchus brachialis;14;F;B;larva
Bruchus dentipes;5;F;B;larva
Bruchus emarginatus;2;F;B;larva
Bruchus ervi;1;F;B;larva
Bruchus griseomaculatus;4;F;B;larva
Bruchus hamatus;3;F;B;larva
Bruchus hierroensis;1;F;B;larva
Bruchus ibericus;3;F;B;larva
Bruchus lalticollis;1;F;B;larva
Bruchus laticollis;1;F;B;larva
Bruchus lentis;3;F;B;larva
Bruchus libanensis;3;F;B;larva
Bruchus loti;6;F;B;larva
Bruchus lugubris;2;seeds;B;larva
Bruchus luteicornis;11;F;B;larva
Bruchus mirabilicollis;2;seeds;B;larva
Bruchus occidentalis;3;F;B;larva
Bruchus perezi;1;F;B;larva
Bruchus pisorum;8;F;B;larva
Bruchus rufimanus;15;F;B;larva
Bruchus rufipes;12;F;B;larva
Bruchus sibiricus;1;F;B;larva
Bruchus signaticornis;7;F;B;larva
Bruchus tetragonus;1;seeds;B;larva
Bruchus tristiculus;20;F;B;larva
Bruchus tristis;10;F;B;larva
Bruchus ulicis;5;F;B;larva
Bruchus venustus;3;F;B;larva
Bruchus viciae;10;F;B;larva
Brunchorstia laricina;1;S;CA;NA
Brunnipila dryadis;1;L;P;NA
Bryobia aetnensis;1;L;V;NA
Bryobia alberensis;3;L;V;NA
Bryobia angustisetis;4;L;V;NA
Bryobia artemisiae;2;L;V;NA
Bryobia attica;1;S;V;NA
Bryobia baroni;1;L;V;NA
Bryobia belliloci;1;L;V;NA
Bryobia berlesei;2;L;V;NA
Bryobia cagani;2;L;V;NA
Bryobia caricae;1;L;V;NA
Bryobia cerasi;1;L;V;NA
Bryobia cinereae;1;L;V;NA
Bryobia convolvulus;2;L;V;NA
Bryobia cooremani;1;L;V;NA
Bryobia cyclamenae;1;L;V;NA
Bryobia dekocki;1;L;V;NA
Bryobia dikmenensis;1;L;V;NA
Bryobia gigas;1;L;V;NA
Bryobia graminum;15;L;V;NA
Bryobia kassioticus;1;L;V;NA
Bryobia kissophila;5;L;V;NA
Bryobia lagodechiana;13;L;V;NA
Bryobia longisetis;8;L;V;NA
Bryobia macedonica;1;L;V;NA
Bryobia mercantourensis;1;L;V;NA
Bryobia nikitensis;1;L;V;NA
Bryobia pelerentesi;1;L;H;NA
Bryobia polymorpha;1;L;V;NA
Bryobia praetiosa;30;L;V;NA
Bryobia querci;2;L;V;NA
Bryobia ribis;1;L;V;NA
Bryobia rubrioculus;40;L;V;NA
Bryobia rugosa;2;L;V;NA
Bryobia sarothamni;1;L;V;NA
Bryobia serifiotica;1;L;V;NA
Bryobia siliquae;1;L;V;NA
Bryobia tiliae;1;L;V;NA
Bryobia ulicis;1;L;V;NA
Bryobia ulmophila;8;L;V;NA
Bryobia vasiljevi;24;L;V;NA
Bryobia watersi;4;L;V;NA
Bryocoris pteridis;4;L;V;NA
Bryotropha figulella;1;L;H;NA
Bubastia obsoleta;2;L;V;NA
Bubastia suturalis;4;S;V;NA
Bucculacus kaweckii;1;L;V;NA
Bucculatrix absinthii;1;L;M;NA
Bucculatrix ainsliella;1;L;M;NA
Bucculatrix alaternella;1;L;M;NA
Bucculatrix albedinella;2;L;M;NA
Bucculatrix albella;1;L;M;NA
Bucculatrix albiguttella;1;L;M;NA
Bucculatrix alpina;2;L;M;NA
Bucculatrix andalusica;1;L;M;NA
Bucculatrix argentisignella;1;L;M;NA
Bucculatrix artemisiella;2;L;M;NA
Bucculatrix atagina;1;L;M;NA
Bucculatrix bechsteinella;17;L;M;NA
Bucculatrix benacicolella;2;L;M;NA
Bucculatrix canariensis;1;L;M;NA
Bucculatrix cantabricella;1;L;M;NA
Bucculatrix chrysanthemella;2;L;M;NA
Bucculatrix cidarella;4;L;M;NA
Bucculatrix clavenae;2;L;M;NA
Bucculatrix cristatella;6;L;M;NA
Bucculatrix demaryella;6;L;M;NA
Bucculatrix diffusella;1;L;M;NA
Bucculatrix fatigatella;4;L;M;NA
Bucculatrix frangutella;8;L;M;NA
Bucculatrix gnaphaliella;2;L;M;NA
Bucculatrix helichrysella;2;L;M;NA
Bucculatrix herbalbella;1;L;M;NA
Bucculatrix humiliella;2;L;M;NA
Bucculatrix infans;1;L;M;NA
Bucculatrix laciniatella;2;L;M;NA
Bucculatrix latviaella;3;L;M;NA
Bucculatrix lavaterella;1;L;M;NA
Bucculatrix maritima;1;L;M;NA
Bucculatrix myricae;1;L;M;NA
Bucculatrix nigricomella;1;L;M;NA
Bucculatrix noltei;2;L;M;NA
Bucculatrix orophilella;1;L;M;NA
Bucculatrix paliuricola;1;L;M;NA
Bucculatrix pannonica;2;L;M;NA
Bucculatrix phagnalella;1;L;M;NA
Bucculatrix ratisbonensis;2;L;M;NA
Bucculatrix rhamniella;2;L;M;NA
Bucculatrix santolinella;1;L;M;NA
Bucculatrix spina-christi;1;L;M;NA
Bucculatrix thoracella;15;L;M;NA
Bucculatrix turatii;1;L;M;NA
Bucculatrix ulmella;9;L;M;NA
Bucculatrix ulmicola;1;L;M;NA
Bucculatrix ulmifoliae;4;L;M;NA
Buchananiella continua;3;NA;Pre;NA
Buckleria paludum;2;L;V;NA
Buerenia cicutae;1;L;G;NA
Buerenia inundata;4;L;G;NA
Buergenerula biseptata;1;L;F;NA
Buergenerula spartinae;1;L;F;NA
Bugraia ocularis;1;L;V;NA
Buhriella rubicola;1;L;G;NA
Bulgarialeurodes cotesii;1;L;SC;NA
Bupalus piniaria;4;L;V;NA
Buprestis aetnensis;1;S;B;NA
Buprestis bertheloti;1;S;B;NA
Buprestis cupressi;4;S;B;NA
Buprestis dalmatina;5;S;B;NA
Buprestis douei;1;S;B;NA
Buprestis flavoangulata;2;S;B;NA
Buprestis haemorrhoidalis;7;S;B;NA
Buprestis novemmaculata;11;S;B;NA
Buprestis octoguttata;10;S;B;NA
Buprestis rustica;7;S;B;NA
Buprestis splendens;5;S;B;NA
Bursaphelenchus mucronatus;1;S;B;NA
Bursaphelenchus xylophilus;1;S;B;NA
Buszkoiana capnodactylus;1;S;B;NA
Byctiscus betulae;22;L;G;larva
Byctiscus populi;6;L;G;larva
Byrsinus albipennis;1;R;V;NA
Byrsinus flavicornis;3;R;V;NA
Byrsinus laticollis;2;R;V;NA
Byrsinus pilosulus;3;R;V;NA
Byturus tomentosus;2;F;B;NA
Cabera exanthemata;15;L;V;NA
Cabera pusaria;16;L;V;NA
Cacoecimorpha pronubana;49;L;V;NA
Cacopsylla abdominalis;4;L;G;NA
Cacopsylla affinis;3;L;G;NA
Cacopsylla alaterni;1;S;V;NA
Cacopsylla albipes;4;L;G;NA
Cacopsylla ambigua;13;L;G;NA
Cacopsylla atlantica;1;L;G;NA
Cacopsylla bidens;3;S;V;NA
Cacopsylla breviantennata;4;L;G;NA
Cacopsylla brunneipennis;17;L;G;NA
Cacopsylla corcontum;1;X;V;NA
Cacopsylla crataegi;7;L;G;NA
Cacopsylla elegantula;7;L;G;NA
Cacopsylla flori;5;L;G;NA
Cacopsylla fulguralis;6;L;G;NA
Cacopsylla hippophaes;1;L;G;NA
Cacopsylla intermedia;2;L;G;NA
Cacopsylla iteophila;2;L;G;NA
Cacopsylla klapaleki;1;L;G;NA
Cacopsylla ledi;1;L;V;NA
Cacopsylla limbata;3;L;V;NA
Cacopsylla mali;4;L;G;NA
Cacopsylla melanoneura;10;L;G;NA
Cacopsylla moscovita;7;L;G;NA
Cacopsylla myrthi;2;L;V;NA
Cacopsylla myrtilli;2;L;V;NA
Cacopsylla nigrita;10;L;G;NA
Cacopsylla notata;3;L;V;NA
Cacopsylla palmeni;4;L;G;NA
Cacopsylla parvipennis;2;L;G;NA
Cacopsylla peregrina;3;L;G;NA
Cacopsylla perrieri;1;L;G;NA
Cacopsylla picta;3;L;G;NA
Cacopsylla propinqua;4;L;G;NA
Cacopsylla pruni;9;L;G;NA
Cacopsylla pulchella;1;L;G;NA
Cacopsylla pulchra;15;L;G;NA
Cacopsylla pyri;3;L;G;NA
Cacopsylla pyricola;2;L;G;NA
Cacopsylla pyrisuga;3;L;G;NA
Cacopsylla rhamnicola;4;L;V;NA
Cacopsylla rhododendri;2;S;V;NA
Cacopsylla saliceti;10;L;G;NA
Cacopsylla saligna;1;L;G;NA
Cacopsylla sorbi;1;L;V;NA
Cacopsylla tatrica;1;L;G;NA
Cacopsylla ulmi;3;L;G;NA
Cacopsylla viburni;2;S;V;NA
Cacopsylla visci;2;L;G;NA
Cacopsylla zaicevi;4;L;G;NA
Cacopsylla zetterstedti;1;S;V;NA
Cacyreus marshalli;12;L;V;NA
Cadra abstersella;1;U;U;NA
Caenocoris nerii;5;L;V;NA
Caenolyda reticulata;3;L;H;NA
Caenorhinus mannerheimii;3;L;M;larva
Caeoma cernuae;1;L;P;01
Caeoma epilobii-alpini;5;L;P;01
Caeoma laricis;3;L;P;01
Caeoma origani;1;L;P;summer
Caeoma scillae;1;L;P;01
Cainiella johansonii;1;L;NA;NA
Cajalecanium salicorniae;1;S;SC;NA
Calacarus carinatus;2;L;V;NA
Calacarus pusillus;1;L;V;NA
Calameuta filiformis;5;S;B;NA
Calameuta haemorrhoidalis;3;S;B;NA
Calameuta pallipes;1;S;B;NA
Calameuta punctata;1;S;B;NA
Calameuta variabilis;2;L;V;NA
Calamia tridens;6;S;V;NA
Calamobius filum;16;S;B;NA
Calamodes occitanaria;8;L;V;NA
Calamoncosis aprica;1;NA;I;NA
Calamoncosis glyceriae;1;X;B;NA
Calamoncosis laminiformis;4;S;B;NA
Calamoncosis minima;1;L;I;NA
Calamotettix taeniatus;1;L;V;NA
Calamotropha paludella;2;L;M;NA
Calaphis arctica;1;L;V;NA
Calaphis betulicola;3;L;G;NA
Calaphis flava;5;L;V;NA
Calathus ambiguus;10;seeds;V;NA
Calathus fuscipes;24;seeds;V;NA
Calchaenesthes oblongomaculata;1;DW;B;NA
Calchaenesthes primis;1;S;B;NA
Calchaenesthes sexmaculata;1;S;B;NA
Calepitrimerus achilleae;1;L;V;NA
Calepitrimerus alchemillae;8;L;V;NA
Calepitrimerus armatus;3;L;V;NA
Calepitrimerus baileyi;2;L;V;NA
Calepitrimerus buxi;1;L;V;NA
Calepitrimerus ceratoniae;1;S;V;NA
Calepitrimerus cerosus;1;B;V;NA
Calepitrimerus chamaemori;5;L;V;NA
Calepitrimerus crataegi;3;L;V;NA
Calepitrimerus darrowi;2;L;V;NA
Calepitrimerus epimedii;1;L;G;NA
Calepitrimerus fagisylvaticus;2;L;V;NA
Calepitrimerus lutocinus;1;L;V;NA
Calepitrimerus mathiasrexi;1;L;V;NA
Calepitrimerus occithujae;2;S;V;NA
Calepitrimerus orjensis;1;L;V;NA
Calepitrimerus parnisiensis;1;NA;I;NA
Calepitrimerus periclymeni;1;L;V;NA
Calepitrimerus rhamni;2;L;V;NA
Calepitrimerus russoi;1;L;V;NA
Calepitrimerus sibbaldiae;1;L;G;NA
Calepitrimerus vitis;1;L;G;NA
Caliciopsis calicioides;1;S;CA;NA
Caliciopsis moriondi;4;S;CA;NA
Caliciopsis tiliae;1;S;CA;NA
Caliroa annulipes;26;L;V;NA
Caliroa cerasi;18;L;V;NA
Caliroa cinxia;6;L;V;NA
Caliroa cothurnata;1;L;V;NA
Caliroa tremulae;1;L;V;NA
Caliroa varipes;2;L;V;NA
Callergates gaillardoti;5;DW;B;NA
Callidiellum rufipenne;6;DW;NA;NA
Callidium aeneum;4;DW;B;NA
Callidium coriaceum;4;DW;B;NA
Callidium violaceum;5;DW;B;NA
Calliergis ramosa;3;L;V;NA
Calligypona reyi;2;L;V;NA
Callimorpha dominula;37;L;V;NA
Callimoxys gracilis;4;DW;B;NA
Callimus abdominalis;15;DW;B;NA
Callimus angulatus;19;DW;B;NA
Callimus femoratus;4;DW;B;NA
Calliopum geniculatum;1;U;U;NA
Callipterinella calliptera;4;L;V;NA
Callipterinella minutissima;2;X;V;NA
Callipterinella tuberculata;2;L;V;NA
Callirhytis afion;1;F;G;NA
Callirhytis bella;2;B;G;NA
Callirhytis erythrocephala;4;F;B;FF
Callirhytis glandium;8;F;B;FF
Callirhytis rufescens;6;F;B;FF
Callisto coffeella;7;L;M;NA
Callisto denticulella;10;L;M;NA
Callisto insperatella;2;L;M;NA
Callisto pfaffenzelleri;3;L;M;NA
Callistodema fasciata;1;NA;Pre;NA
Calliteara abietis;1;L;V;NA
Calliteara pudibunda;31;L;V;NA
Callodictya kazeruna;2;S;V;NA
Callodictya krueperi;3;S;V;NA
Callophrys avis;2;L;V;NA
Callophrys mystaphia;1;L;V;NA
Callophrys rubi;65;L;V;NA
Callopistria juventina;1;L;V;NA
Callopistria latreillei;3;L;V;NA
Callosobruchus analis;1;seeds;B;larva
Callosobruchus chinensis;2;seeds;B;larva
Callosobruchus maculatus;3;seeds;B;larvahbgn
Calluneyrodes callunae;2;L;SC;NA
Callyntrotus granulatus;1;L;G;NA
Callyntrotus lonicerae;1;L;V;NA
Callyntrotus polygoni;2;L;V;NA
Callyntrotus schlechtendali;2;L;V;NA
Callyntrotus trilobus;1;L;G;NA
Calocoris affinis;2;L;V;NA
Calocoris alpestris;3;L;V;NA
Calocoris costae;5;L;V;NA
Calocoris histrio;3;L;V;NA
Calocoris nemoralis;13;L;V;NA
Calocoris roseomaculatus;52;L;V;NA
Calocoris rubicundus;1;L;V;NA
Calomicrus apicalis;5;L;V;NA
Calomicrus bispiniger;1;U;U;NA
Calomicrus circumfusus;12;R;V;NA
Calomicrus doramasensis;1;U;V;NA
Calomicrus foveolatus;2;L;V;imago
Calomicrus ibericus;5;R;V;NA
Calomicrus malkini;2;L;V;NA
Calomicrus sordidus;2;L;V;imago
Calomicrus suturalis;2;U;U;NA
Calomicrus wollastoni;1;U;U;NA
Calonectria lauri;1;L;F;NA
Calonectria pseudonaviculata;1;L;F;NA
Calophasia almoravida;2;L;V;NA
Calophasia hamifera;2;L;V;NA
Calophasia lunula;7;L;V;NA
Calophasia opalina;3;L;V;NA
Calophasia platyptera;5;L;V;NA
Calophoma clematidina;1;L;F;NA
Calophya rhois;2;L;G;NA
Calophya schini;1;L;G;NA
Caloptilia alchimiella;9;L;M;NA
Caloptilia aurantiaca;6;L;M;NA
Caloptilia azaleella;3;L;M;NA
Caloptilia basistrigella;2;L;M;NA
Caloptilia betulicola;2;L;M;NA
Caloptilia coruscans;5;L;M;NA
Caloptilia cuculipennella;16;L;M;NA
Caloptilia elongella;2;L;M;NA
Caloptilia falconipennella;1;L;M;NA
Caloptilia fidella;2;L;M;NA
Caloptilia flava;1;L;M;NA
Caloptilia fribergensis;2;L;M;NA
Caloptilia hauderi;2;L;M;NA
Caloptilia hemidactylella;4;L;M;NA
Caloptilia honoratella;2;L;M;NA
Caloptilia jurateae;1;L;M;NA
Caloptilia laurifoliae;1;L;M;NA
Caloptilia nobilella;1;L;M;NA
Caloptilia perseae;1;L;M;NA
Caloptilia populetorum;2;L;M;NA
Caloptilia robustella;3;L;M;NA
Caloptilia roscipennella;2;L;M;NA
Caloptilia rufipennella;7;L;M;NA
Caloptilia semifascia;1;L;M;NA
Caloptilia staintoni;5;L;M;NA
Caloptilia stigmatella;24;L;M;NA
Caloptilia suberinella;1;L;M;NA
Calosirus apicalis;5;R;B;larva
Calosirus terminatus;10;S;B;NA
Calybites magnifica;1;L;M;NA
Calybites phasianipennella;15;L;M;NA
Calybites quadrisignella;4;L;M;NA
Calyciphora acarnella;2;L;V;NA
Calyciphora adamas;1;L;V;NA
Calyciphora albodactylus;12;L;V;NA
Calyciphora homoiodactyla;1;L;V;NA
Calyciphora nephelodactyla;1;L;V;NA
Calyciphora xanthodactyla;4;L;V;NA
Calycomyza artemisiae;6;L;M;NA
Calycomyza humeralis;19;L;M;NA
Calycomyza solidaginis;3;L;M;NA
Calycomyza subapproximata;2;S;B;NA
Calyptra thalictri;2;L;V;NA
Camarosporium coronillae subsp. lauri;1;L;F;NA
Camarosporium cruciatum;3;L;F;NA
Camarosporium dalmaticum;1;F;B;NA
Camarosporium karstenii;2;B;NA;NA
Camarosporium nervisequum;1;L;F;NA
Camarosporium oleae;1;L;F;NA
Camarosporium oreades;1;L;F;NA
Camarosporium pyricola;1;L;F;NA
Camarosporium suseganense;1;L;F;NA
Camarota curvipennis;8;S;B;NA
Camarotoscena speciosa;9;L;G;NA
Camarotoscena subrubescens;1;L;G;NA
Cameraria gaultheriella;1;L;M;NA
Cameraria ohridella;4;L;M;NA
Campaea honoraria;4;L;V;NA
Campaea margaritaria;18;L;V;NA
Campiglossa absinthii;3;X;B;NA
Campiglossa achyrophori;3;X;B;NA
Campiglossa argyrocephala;1;X;G;NA
Campiglossa difficilis;2;X;B;NA
Campiglossa doronici;3;X;B;NA
Campiglossa duplex;1;U;U;NA
Campiglossa grandinata;1;S;G;NA
Campiglossa guttella;2;X;B;NA
Campiglossa irrorata;1;C;B;NA
Campiglossa loewiana;2;X;B;NA
Campiglossa malaris;2;X;B;NA
Campiglossa martii;1;X;B;NA
Campiglossa misella;6;S;G;NA
Campiglossa multimaculosa;1;X;B;NA
Campiglossa plantaginis;1;X;G;NA
