"taxon_name","n","native_to_europe","wcvp_accepted_id","family","genus","LifeCycle","Woodiness","woodiness","lifecycle","min_fr"
"Aria edulis",87,TRUE,2942010,"Rosaceae","Aria","Perennial","Woody","Woody","Perennial",1963
"Aria graeca",4,TRUE,2942020,"Rosaceae","Aria","Perennial","Woody","Woody","Perennial",1910
"Aria obtusifolia",1,TRUE,3014087,"Rosaceae","Aria","Perennial","Woody","Woody","Perennial",NA
"Aria rupicola",1,TRUE,3008642,"Rosaceae","Aria","Perennial","Woody","Woody","Perennial",2004
"Aria umbellata",1,TRUE,3014011,"Rosaceae","Aria","Perennial","Woody","Woody","Perennial",NA
"Arisaema triphyllum",1,FALSE,15737,"Araceae","Arisaema","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arisarum proboscideum",1,TRUE,15825,"Araceae","Arisarum","Perennial","Non-Woody","Non-Woody","Perennial",1872
"Arisarum vulgare",1,TRUE,15835,"Araceae","Arisarum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristida adscensionis",1,TRUE,394312,"Poaceae","Aristida",NA,"Non-Woody","Non-Woody",NA,1939
"Aristolochia auricularia",1,FALSE,2651177,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia baetica",2,TRUE,2651183,"Aristolochiaceae","Aristolochia","Perennial","Woody","Woody","Perennial",NA
"Aristolochia billardieri",1,FALSE,2651205,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia bottae",1,FALSE,2651217,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia clematitis",9,TRUE,2651289,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",1300
"Aristolochia cretica",1,TRUE,2651320,"Aristolochiaceae","Aristolochia",NA,"Non-Woody","Non-Woody","Perennial",NA
"Aristolochia fontanesii",1,TRUE,2651408,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia hirta",4,TRUE,2651481,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",1969
"Aristolochia iberica",1,FALSE,2651502,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia incisa",1,FALSE,2651506,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia macrophylla",2,TRUE,2651618,"Aristolochiaceae","Aristolochia","Perennial","Woody","Woody","Perennial",NA
"Aristolochia maurorum",5,FALSE,2651639,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia paecilantha",2,FALSE,2651732,"Aristolochiaceae","Aristolochia","Perennial",NA,"Non-Woody","Perennial",NA
"Aristolochia pallida",5,TRUE,2651733,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia parvifolia",3,TRUE,2651753,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia paucinervis",1,TRUE,2651756,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia pistolochia",4,TRUE,2651784,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia pontica",1,FALSE,2651795,"Aristolochiaceae","Aristolochia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aristolochia rotunda",5,TRUE,2651846,"Aristolochiaceae","Aristolochia","Perennial",NA,"Non-Woody","Perennial",1811
"Aristolochia sempervirens",4,TRUE,2651889,"Aristolochiaceae","Aristolochia","Perennial",NA,"Non-Woody","Perennial",1994
"Armeria alliacea",4,TRUE,2652187,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Armeria alpina",1,TRUE,2652209,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Armeria alpina subsp. halleri",3,TRUE,2652220,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armeria arenaria",2,TRUE,2652246,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",1851
"Armeria caespitosa",1,TRUE,2652293,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Armeria canescens",1,TRUE,2652301,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Armeria helodes",1,TRUE,2652436,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armeria maderensis",2,FALSE,2652509,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armeria maritima",23,TRUE,2652527,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",1890
"Armeria maritima subsp. elongata",4,TRUE,2652560,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armeria maritima subsp. purpurea",2,TRUE,2652604,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armeria maritima subsp. sibirica",1,TRUE,2652613,"Plumbaginaceae","Armeria","Annual",NA,"Non-Woody","Annual",NA
"Armeria pseudarmeria",1,TRUE,2652691,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armeria pubigera",3,TRUE,2652695,"Plumbaginaceae","Armeria","Perennial",NA,"Non-Woody","Perennial",NA
"Armeria pungens",4,TRUE,2652699,"Plumbaginaceae","Armeria","Perennial",NA,"Non-Woody","Perennial",NA
"Armeria splendens",1,TRUE,2652765,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Armeria velutina",1,TRUE,2652793,"Plumbaginaceae","Armeria","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Armeria villosa subsp. longearistata",1,TRUE,2652800,"Plumbaginaceae","Armeria",NA,NA,"Non-Woody","Perennial",NA
"Armoracia rusticana",46,TRUE,2652952,"Brassicaceae","Armoracia","Perennial","Non-Woody","Non-Woody","Perennial",1548
"Arnebia decumbens",1,TRUE,2652973,"Boraginaceae","Arnebia","Annual","Non-Woody","Non-Woody","Annual",1850
"Arnebia decumbens subsp. decumbens",4,TRUE,3262096,"Boraginaceae","Arnebia","Annual","Non-Woody","Non-Woody","Annual",NA
"Arnica angustifolia",2,TRUE,2922439,"Asteraceae","Arnica","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arnica montana",16,TRUE,2909364,"Asteraceae","Arnica","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arnoseris minima",5,TRUE,3074238,"Asteraceae","Arnoseris","Annual","Non-Woody","Non-Woody","Annual",1581
"Aronia melanocarpa",8,FALSE,2942327,"Rosaceae","Aronia","Perennial","Woody","Woody","Perennial",1824
"Aronia × prunifolia",2,FALSE,2942347,"Rosaceae","Aronia","Perennial","Woody","Woody","Perennial",1797
"Arrhenatherum album",1,TRUE,395358,"Poaceae","Arrhenatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arrhenatherum elatius",138,TRUE,395388,"Poaceae","Arrhenatherum","Perennial","Non-Woody","Non-Woody","Perennial",1867
"Arrhenatherum elatius subsp. bulbosum",5,TRUE,395401,"Poaceae","Arrhenatherum",NA,NA,"Non-Woody","Perennial",NA
"Arrhenatherum longifolium",1,TRUE,395441,"Poaceae","Arrhenatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arrhenatherum palaestinum",1,TRUE,395457,"Poaceae","Arrhenatherum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia abrotanum",33,TRUE,2922513,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",1548
"Artemisia absinthium",119,TRUE,2909600,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1551
"Artemisia alba",38,TRUE,3107585,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",1965
"Artemisia alpina",2,TRUE,3107534,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",2008
"Artemisia annua",5,TRUE,2901442,"Asteraceae","Artemisia","Annual","Non-Woody","Non-Woody","Annual",1835
"Artemisia arborescens",14,TRUE,3107652,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia arenaria",4,TRUE,3107680,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia argentea",5,FALSE,3107681,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia argyi",1,FALSE,2901444,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1988
"Artemisia armeniaca",1,TRUE,3107688,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia austriaca",16,TRUE,3107706,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1807
"Artemisia barrelieri",5,TRUE,3108941,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia biennis",2,FALSE,3107730,"Asteraceae","Artemisia","Annual","Non-Woody","Non-Woody","Annual",1890
"Artemisia caerulescens",8,TRUE,3108951,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",NA
"Artemisia caerulescens subsp. cretacea",2,TRUE,3108952,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia caerulescens subsp. gallica",15,TRUE,3108958,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia campestris",226,TRUE,3107744,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1851
"Artemisia campestris subsp. borealis",5,TRUE,3107814,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia campestris subsp. campestris",11,TRUE,3107791,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia campestris subsp. glutinosa",21,TRUE,3107843,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia campestris subsp. variabilis",6,TRUE,3107871,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia chamaemelifolia",3,TRUE,3107906,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia cina",1,FALSE,2921988,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",NA
"Artemisia crithmifolia",17,TRUE,3107969,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia dracunculus",22,TRUE,2901163,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1807
"Artemisia eriantha",1,TRUE,3108861,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia fragrans",11,FALSE,3109010,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia frigida",2,TRUE,3108029,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia genipi",2,TRUE,3198032,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia glacialis",1,TRUE,3108057,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia glauca",2,TRUE,2901172,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia herba-alba",45,TRUE,3109057,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia herba-alba subsp. valentina",1,TRUE,3300556,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia incana",1,FALSE,3108133,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia judaica",2,FALSE,3108164,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia laciniata",2,TRUE,3108237,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia latifolia",1,TRUE,3108278,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1997
"Artemisia leucophylla",1,TRUE,2901502,"Asteraceae","Artemisia",NA,"Non-Woody","Non-Woody","Perennial",NA
"Artemisia ludoviciana",3,FALSE,2922554,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1850
"Artemisia maritima",54,TRUE,2922591,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",1882
"Artemisia mendozana var. mendozana",1,FALSE,3267146,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia monosperma",2,FALSE,3108406,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia montana",3,FALSE,3108409,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia nitrosa",1,TRUE,3109163,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia oelandica",1,TRUE,3108484,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia pedemontana",1,TRUE,3198060,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",NA
"Artemisia pontica",15,TRUE,3108556,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",1700
"Artemisia princeps",1,FALSE,3108571,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1911
"Artemisia ramosa",2,FALSE,3109201,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",NA
"Artemisia rubripes",1,TRUE,2901510,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia rupestris",4,TRUE,3108620,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia salsoloides",1,TRUE,3108686,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia santonicum",17,TRUE,3109129,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia schmidtiana",1,FALSE,3108692,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",NA
"Artemisia scoparia",20,TRUE,2901465,"Asteraceae","Artemisia",NA,"Non-Woody","Non-Woody","Perennial",1901
"Artemisia selengensis",1,FALSE,3108698,"Asteraceae","Artemisia",NA,NA,"Non-Woody","Perennial",1927
"Artemisia serrata",1,FALSE,3108623,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia sieberi",1,FALSE,3109250,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia sieversiana",4,FALSE,3108715,"Asteraceae","Artemisia",NA,"Non-Woody","Non-Woody","Perennial",1805
"Artemisia suksdorfii",1,FALSE,3108786,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia tanacetifolia",1,TRUE,3108801,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia taurica",7,TRUE,3109009,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia terrae-albae",1,FALSE,3109283,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia thuscula",37,FALSE,3108808,"Asteraceae","Artemisia","Perennial","Woody","Woody","Perennial",NA
"Artemisia tilesii",2,TRUE,3108822,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",NA
"Artemisia umbelliformis",7,TRUE,3108845,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Artemisia umbrosa",1,TRUE,3108285,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1955
"Artemisia vallesiaca",2,TRUE,3109141,"Asteraceae","Artemisia","Perennial",NA,"Non-Woody","Perennial",NA
"Artemisia verlotiorum",26,FALSE,2901499,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1895
"Artemisia vulgaris",211,TRUE,2922622,"Asteraceae","Artemisia","Perennial","Non-Woody","Non-Woody","Perennial",1551
"Arthrocaulon macrostachyum",13,TRUE,3014186,"Amaranthaceae","Arthrocaulon","Perennial","Woody","Woody","Perennial",NA
"Artocarpus altilis",1,FALSE,2653919,"Moraceae","Artocarpus","Perennial","Woody","Woody","Perennial",NA
"Arum besserianum",1,TRUE,16052,"Araceae","Arum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arum creticum",1,TRUE,16088,"Araceae","Arum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arum cylindraceum",1,TRUE,16095,"Araceae","Arum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Arum cylindraceum subsp. cylindraceum",2,TRUE,475398,"Araceae","Arum",NA,NA,"Non-Woody","Perennial",NA
"Arum italicum",5,TRUE,16186,"Araceae","Arum","Perennial","Non-Woody","Non-Woody","Perennial",1799
"Arum italicum subsp. canariense",1,FALSE,16191,"Araceae","Arum",NA,NA,"Non-Woody","Perennial",NA
"Arum italicum subsp. neglectum",1,TRUE,16212,"Araceae","Arum",NA,NA,"Non-Woody","Perennial",NA
"Arum maculatum",7,TRUE,16240,"Araceae","Arum","Perennial","Non-Woody","Non-Woody","Perennial",1700
"Arum orientale",3,TRUE,16301,"Araceae","Arum",NA,NA,"Non-Woody","Perennial",NA
"Arum orientale subsp. orientale",2,TRUE,16320,"Araceae","Arum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aruncus dioicus",15,TRUE,2942383,"Rosaceae","Aruncus","Perennial","Non-Woody","Non-Woody","Perennial",1800
"Arundo donax",43,FALSE,396629,"Poaceae","Arundo","Perennial",NA,"Non-Woody","Perennial",1846
"Arundo plinii",3,TRUE,396738,"Poaceae","Arundo","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asarina procumbens",2,TRUE,2654242,"Plantaginaceae","Asarina","Perennial","Non-Woody","Non-Woody","Perennial",1938
"Asarum caudatum",1,FALSE,2654279,"Aristolochiaceae","Asarum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asarum europaeum",7,TRUE,2654312,"Aristolochiaceae","Asarum","Perennial","Non-Woody","Non-Woody","Perennial",1640
"Asarum heterotropoides",1,FALSE,2654341,"Aristolochiaceae","Asarum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asarum lemmonii",1,FALSE,2654372,"Aristolochiaceae","Asarum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asarum sieboldii",1,FALSE,2654443,"Aristolochiaceae","Asarum","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asclepias curassavica",7,FALSE,500848,"Apocynaceae","Asclepias","Perennial","Non-Woody","Non-Woody","Perennial",1948
"Asclepias incarnata",4,FALSE,501004,"Apocynaceae","Asclepias","Perennial","Non-Woody","Non-Woody","Perennial",1987
"Asclepias syriaca",8,FALSE,501428,"Apocynaceae","Asclepias","Perennial","Non-Woody","Non-Woody","Perennial",1786
"Asclepias tuberosa",3,FALSE,501455,"Apocynaceae","Asclepias","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus acutifolius",19,TRUE,274916,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",1928
"Asparagus aethiopicus",5,FALSE,274924,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus albus",5,TRUE,274938,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus aphyllus",4,TRUE,274949,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus aphyllus subsp. orientalis",2,TRUE,274950,"Asparagaceae","Asparagus",NA,NA,"Non-Woody","Perennial",NA
"Asparagus densiflorus",2,FALSE,275016,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus horridus",6,TRUE,275099,"Asparagaceae","Asparagus","Perennial","Woody","Woody","Perennial",NA
"Asparagus maritimus",4,TRUE,275155,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus nesiotes subsp. purpuriensis",1,FALSE,275190,"Asparagaceae","Asparagus",NA,NA,"Non-Woody","Perennial",NA
"Asparagus officinalis",28,TRUE,275197,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",1597
"Asparagus pastorianus",1,FALSE,275218,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus scoparius",1,FALSE,275288,"Asparagaceae","Asparagus","Perennial","Woody","Woody","Perennial",NA
"Asparagus setaceus",4,FALSE,275292,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asparagus tenuifolius",1,TRUE,275331,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",1931
"Asparagus verticillatus",1,TRUE,275358,"Asparagaceae","Asparagus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asperugo procumbens",11,TRUE,2656106,"Boraginaceae","Asperugo","Annual","Non-Woody","Non-Woody","Annual",1600
"Asperula arvensis",1,TRUE,16706,"Rubiaceae","Asperula","Annual","Non-Woody","Non-Woody","Annual",1803
"Asperula glomerata",1,FALSE,16864,"Rubiaceae","Asperula","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asperula taurina",1,TRUE,17145,"Rubiaceae","Asperula","Perennial","Non-Woody","Non-Woody","Perennial",1835
"Asperula tinctoria",9,TRUE,17159,"Rubiaceae","Asperula","Perennial","Non-Woody","Non-Woody","Perennial",1835
"Asperula xylorrhiza",1,FALSE,17187,"Rubiaceae","Asperula","Perennial",NA,"Non-Woody","Perennial",NA
"Asphodeline liburnica",1,TRUE,275396,"Asphodelaceae","Asphodeline","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodeline lutea",5,TRUE,275397,"Asphodelaceae","Asphodeline","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodeline taurica",2,TRUE,275410,"Asphodelaceae","Asphodeline","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodelus aestivus",8,TRUE,275439,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodelus albus",11,TRUE,275445,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",1971
"Asphodelus albus subsp. delphinensis",2,TRUE,275453,"Asphodelaceae","Asphodelus",NA,NA,"Non-Woody","Perennial",NA
"Asphodelus albus subsp. occidentalis",1,TRUE,275463,"Asphodelaceae","Asphodelus",NA,NA,"Non-Woody","Perennial",NA
"Asphodelus cerasiferus",6,TRUE,275496,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodelus fistulosus",7,TRUE,275522,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",1887
"Asphodelus lusitanicus",1,TRUE,275547,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodelus macrocarpus",2,TRUE,275550,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodelus ramosus",22,TRUE,275588,"Asphodelaceae","Asphodelus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asphodelus tenuifolius",1,TRUE,275622,"Asphodelaceae","Asphodelus","Annual","Non-Woody","Non-Woody","Annual",1887
"Aspidistra elatior",4,FALSE,275646,"Asparagaceae","Aspidistra","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asplenium adiantum-nigrum",4,TRUE,3145638,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asplenium ceterach",4,TRUE,3145781,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",1940
"Asplenium daucifolium",1,FALSE,3144492,"Aspleniaceae","Asplenium",NA,"Non-Woody","Non-Woody","Perennial",NA
"Asplenium hemionitis",2,TRUE,3147466,"Aspleniaceae","Asplenium",NA,"Non-Woody","Non-Woody","Perennial",NA
"Asplenium lepidum",1,TRUE,3147521,"Aspleniaceae","Asplenium",NA,NA,"Non-Woody","Perennial",NA
"Asplenium nidus",6,FALSE,3147603,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asplenium ruta-muraria",10,TRUE,3145884,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asplenium scolopendrium",7,TRUE,2929850,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",1820
"Asplenium septentrionale",4,TRUE,3147403,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Asplenium trichomanes",8,TRUE,3147719,"Aspleniaceae","Asplenium","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aster alpinus",16,TRUE,3099366,"Asteraceae","Aster","Perennial","Non-Woody","Non-Woody","Perennial",1967
"Aster amellus",37,TRUE,3099441,"Asteraceae","Aster","Perennial","Non-Woody","Non-Woody","Perennial",1807
"Aster bellidiastrum",20,TRUE,3099482,"Asteraceae","Aster","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Aster indicus var. indicus",1,FALSE,3267009,"Asteraceae","Aster",NA,NA,"Non-Woody","Perennial",NA
"Asteriscus aquaticus",5,TRUE,3114007,"Asteraceae","Asteriscus","Annual","Non-Woody","Non-Woody","Annual",1909
"Asteriscus graveolens",1,FALSE,3114018,"Asteraceae","Asteriscus","Perennial","Woody","Woody","Perennial",NA
"Asteriscus graveolens subsp. stenophyllus",1,FALSE,3114043,"Asteraceae","Asteriscus",NA,NA,"Woody","Perennial",NA
"Asteriscus imbricatus",1,FALSE,3114050,"Asteraceae","Asteriscus",NA,NA,"Woody","Perennial",NA
"Asteriscus sericeus",6,FALSE,3114066,"Asteraceae","Asteriscus","Perennial","Woody","Woody","Perennial",NA
"Astilbe grandis",1,FALSE,2656751,"Saxifragaceae","Astilbe","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Astilbe japonica",2,FALSE,2656758,"Saxifragaceae","Astilbe","Perennial","Non-Woody","Non-Woody","Perennial",1850
"Astilbe rubra",1,FALSE,2656798,"Saxifragaceae","Astilbe","Perennial","Non-Woody","Non-Woody","Perennial",1906
"Astilbe simplicifolia",1,FALSE,2656804,"Saxifragaceae","Astilbe","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Astragalus aduncus",1,FALSE,2657215,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Astragalus albicaulis",5,TRUE,2657302,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA
"Astragalus alopecuroides",1,TRUE,2657346,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",1872
"Astragalus alopecurus",1,TRUE,2657351,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA
"Astragalus alpinus",25,TRUE,2657354,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",2005
"Astragalus alpinus var. alpinus",1,TRUE,3241594,"Fabaceae","Astragalus",NA,NA,"Non-Woody","Perennial",NA
"Astragalus amoenus",1,FALSE,2657418,"Fabaceae","Astragalus",NA,NA,"Non-Woody","Perennial",NA
"Astragalus angustifolius",3,TRUE,2657491,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA
"Astragalus arbuscula",1,FALSE,2657569,"Fabaceae","Astragalus","Perennial","Woody","Woody","Perennial",NA
"Astragalus arenarius",15,TRUE,2657579,"Fabaceae","Astragalus","Perennial","Non-Woody","Non-Woody","Perennial",NA
